time,ema_diff,atr,rsi,volume_norm,volatility_regime,trend,target
2025-12-19 11:29:00,4.9638621201738715,6.744999999999761,78.76805669119548,0.9184,0,1.0,0
2025-12-19 11:30:00,5.118999333331885,6.2221428571426385,73.85637618195938,0.897946186912912,0,1.0,0
2025-12-19 11:31:00,5.550704980501905,6.392857142857143,76.89180031624247,0.9588159588159588,0,1.0,0
2025-12-19 11:32:00,5.443062718688452,6.8578571428570285,64.13043478260985,1.0623781676413255,0,1.0,0
2025-12-19 11:33:00,5.273140032761148,6.447142857142743,60.558817574408195,0.707935462627593,0,1.0,0
2025-12-19 11:34:00,4.938228192677343,6.768571428571314,54.72496473907171,1.0957983193277312,0,1.0,1
2025-12-19 11:35:00,4.698120035918691,6.036428571428457,44.339856328956856,0.7549120992761116,0,1.0,0
2025-12-19 11:36:00,4.541879910721036,5.774285714285725,50.30207512476962,0.7630016195789094,0,1.0,0
2025-12-19 11:37:00,4.571173023512529,5.568571428571366,59.1185009237274,0.8486614460025496,0,1.0,0
2025-12-19 11:38:00,4.187407566852926,5.783571428571512,43.6199548759079,0.9972602739726028,0,1.0,0
2025-12-19 11:39:00,4.202313943675108,5.900000000000156,49.36965330931858,0.8687615526802218,0,1.0,0
2025-12-19 11:40:00,3.7654031883503194,6.1950000000002285,42.64877479579726,0.8939169139465875,0,1.0,0
2025-12-19 11:41:00,3.455575433021295,6.079285714286016,42.08562450903165,0.8027923211169283,0,1.0,0
2025-12-19 11:42:00,3.0192804358739522,6.115000000000301,37.904468412940474,0.8164898939363618,0,1.0,0
2025-12-19 11:43:00,2.740785791535018,6.0292857142859635,39.87318164863714,0.7139959432048681,0,1.0,0
2025-12-19 11:44:00,2.4324369054047565,5.993571428571678,41.0207214121245,0.8301584118708643,0,1.0,0
2025-12-19 11:45:00,2.2953663539483387,5.671428571428676,37.239689669251696,0.819000819000819,0,1.0,0
2025-12-19 11:46:00,2.125623918076599,5.232857142857289,43.97299903567925,0.6729362591431557,0,1.0,0
